,NO_ENTIDADE,CO_ENTIDADE,QT_MAT_BAS_11_14,QT_MAT_BAS_15_17,QT_DESKTOP_ALUNO,QT_COMP_PORTATIL_ALUNO,QT_TABLET_ALUNO,IN_INTERNET_ALUNOS,IN_INTERNET_APRENDIZAGEM,IN_BANDA_LARGA,IN_MATERIAL_PED_MULTIMIDIA,IN_MATERIAL_PED_MUSICAL,IN_MATERIAL_PED_ARTISTICAS,QT_MAT_BAS_FEM,QT_MAT_BAS_MASC,QT_MAT_BAS_D,QT_MAT_BAS_N,QT_MAT_MED_INT,TP_DEPENDENCIA,TP_SITUACAO_FUNCIONAMENTO,DS_ENDERECO,NU_ENDERECO,DS_COMPLEMENTO,NO_BAIRRO,CO_CEP,Latitude,Longitude,SERIE_ANO,CIÊNCIAS,LÍNGUA PORTUGUESA,MATEMÁTICA,MAT_PT_TOTAL
10,AGENOR COUTO DE MAGALHAES DOUTOR,35000197,197.0,393.0,15.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,472.0,489.0,557.0,404.0,0.0,2,1,GUILHERME MANKEL,99,AVENIDA,VILA CLARICE,5176000,-23.47151,-46.74658,EM-3ª série,259,257.2,254.8,512.0
11,ANTONIO FRANCISCO REDONDO PROFESSOR,35000218,6.0,746.0,8.0,28.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,469.0,475.0,692.0,252.0,0.0,2,1,EVANDRO DANTON FERREIRA GANDRA,148,RUA,VILA MANGALOT,5131100,-23.4969,-46.7434,EM-3ª série,"267,8",260.8,257.8,518.6
12,CANDIDO GONCALVES GOMIDE PROFESSOR,35000224,406.0,835.0,10.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,817.0,804.0,1133.0,488.0,0.0,2,1,AVELINO ZANETTI,50,RUA,JARDIM CIDADE PIRITUBA,2945100,-23.48306172,-46.72585765,EM-3ª série,"279,7",269.2,258.0,527.2
13,CLODOMIRO CARNEIRO,35000255,197.0,179.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,186.0,201.0,387.0,0.0,170.0,2,1,MANOEL DE SOUZA AZEVEDO,364,RUA,SITIO MORRO GRANDE,2809040,-23.4713437,-46.7031927,EM-3ª série,"282,3",270.5,267.2,537.7
14,ERMANO MARCHETTI,35000267,355.0,811.0,14.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,658.0,635.0,1047.0,246.0,0.0,2,1,PEDRO MARIGLIANI,192,RUA,CHACARA INGLESA,5141010,-23.4933081,-46.7298324,EM-3ª série,"284,4",264.8,267.3,532.1
15,BENEDITO TOLOSA PROFESSOR,35000309,176.0,203.0,13.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,212.0,222.0,434.0,0.0,0.0,2,1,PRACA DIRCEU DE LIMA,617,PRACA,CASA VERDE,2515050,-23.5104708,-46.6577907,EM-3ª série,"266,9",259.2,255.0,514.2
16,PEDRO MONTEIRO DO AMARAL CAPITAO,35000322,280.0,353.0,16.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,340.0,334.0,674.0,0.0,41.0,2,1,RUA NURSIA,412,RUA,JARDIM SAO BENTO,2524020,-23.5026864,-46.6506415,EM-3ª série,"300,8",274.5,276.3,550.8
17,MANUEL DA NOBREGA PADRE,35000334,437.0,534.0,16.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,510.0,524.0,1034.0,0.0,0.0,2,1,RUA SANTA PRISCA,122,RUA,JARDIM LARANJEIRAS,2518010,-23.5089549,-46.6630694,EM-3ª série,279,276.7,274.1,550.8
18,ANTONIO JOSE LEITE PROF,35000371,311.0,1098.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,760.0,851.0,1361.0,250.0,0.0,2,1,DEZ DE MAIO,271,RUA,VILA AMELIA,2615100,-23.4703506,-46.655166,EM-3ª série,"274,1",269.3,265.2,534.5
19,ANTOINE DE SAINT EXUPERY,35000383,524.0,577.0,25.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,578.0,580.0,1158.0,0.0,29.0,2,1,RUA ANTONIO RIBEIRO DE MORAIS,184,RUA,VILA CARBONE,2751000,-23.4909827,-46.6810889,EM-3ª série,283,265.3,268.1,533.4000000000001
20,JOAQUIM LUIZ DE BRITO PROFESSOR,35000395,244.0,407.0,8.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,513.0,477.0,660.0,330.0,0.0,2,1,RUA SANTA LUCIA FILIPPINI,65,RUA,ITABERABA,2737100,-23.48751,-46.69238,EM-3ª série,"275,3",265.9,259.9,525.8
21,MARQUES DE TAMANDARE ALMIRANTE,35000401,419.0,686.0,16.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,593.0,625.0,914.0,304.0,0.0,2,1,JACARECOPAIBA,33,RUA,VILA MARINA,2965170,-23.484261,-46.7029114,EM-3ª série,"259,6",265.9,258.3,524.2
22,JOAQUIM SILVADO DOUTOR,35000413,267.0,194.0,16.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,219.0,258.0,477.0,0.0,184.0,2,1,RUA MONSENHOR MANOEL GOMES,306,RUA,VILA ZAT,2975120,-23.47972316,-46.70964749,EM-3ª série,287,275.6,271.1,546.7
23,AUGUSTO RIBEIRO DE CARVALHO PROFESSOR,35000450,447.0,672.0,26.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,677.0,738.0,1091.0,324.0,0.0,2,1,RUA PROFESSOR JOAO MACHADO,511,RUA,NOSSA SENHORA DO O,2927000,-23.4979561,-46.7037694,EM-3ª série,"281,4",275.3,271.9,547.2
24,AUGUSTO MEIRELLES REIS FILHO PROFESSOR,35000462,245.0,217.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,252.0,284.0,420.0,116.0,147.0,2,1,RUA PADRE JOAO GUALBERTO,311,RUA,IMIRIM,2537000,-23.4916621,-46.6513643,EM-3ª série,"254,8",240.6,249.5,490.1
25,LUIZ GONZAGA RIGHINI PROFESSOR,35000498,227.0,414.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,365.0,356.0,721.0,0.0,0.0,2,1,AVENIDA DEPUTADO EMILIO CARLOS,900,AVENIDA,LIMAO,2720100,-23.4978036,-46.6758798,EM-3ª série,"259,8",254.5,247.4,501.9
26,COLOMBO DE ALMEIDA PROFESSOR,35000528,282.0,537.0,13.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,432.0,454.0,886.0,0.0,0.0,2,1,RUA GRACIANO ALTIERI,114,RUA,CASA VERDE ALTA,2545060,-23.4939161,-46.6605849,EM-3ª série,"267,6",260.3,256.0,516.3
27,TARCISIO ALVARES LOBO,35000536,352.0,561.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,592.0,640.0,897.0,335.0,36.0,2,1,RUA ESTELA BORGES MORATO,500,RUA,VILA SIQUEIRA,2722000,-23.5026119,-46.6808481,EM-3ª série,"265,6",265.8,264.6,530.4000000000001
28,JACOMO STAVALE PROFESSOR,35000553,631.0,593.0,20.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,613.0,660.0,1273.0,0.0,568.0,2,1,MANUEL MADRUGA,205,RUA,MOINHO VELHO,2960020,-23.4960487,-46.6996174,EM-3ª série,"281,5",287.0,282.8,569.8
29,TITO PRATES DA FONSECA,35000607,542.0,854.0,11.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,908.0,934.0,1318.0,524.0,0.0,2,1,MENDONCA JUNIOR,611,RUA,VILA DOS ANDRADES,2610010,-23.4770123,-46.6642008,EM-3ª série,"278,9",270.4,268.3,538.7
30,ANTONIO EMILIO SOUZA PENNA PROFESSOR,35000620,378.0,530.0,25.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,487.0,567.0,761.0,293.0,0.0,2,1,CAROLINA MARIA DO CARMO,30,RUA,VILA ALBERTINA,2729080,-23.5035181,-46.6929174,EM-3ª série,264,262.0,256.1,518.1
31,ROMULO PERO PROFESSOR,35000668,305.0,232.0,17.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,284.0,265.0,549.0,0.0,231.0,2,1,RUA COPACABANA,243,RUA,SANTA TERESINHA,2461000,-23.4941932,-46.6384274,EM-3ª série,"271,1",267.1,274.2,541.3
32,PAULO EGYDIO DE OLIVEIRA CARVALHO SENADOR,35000673,654.0,854.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,831.0,787.0,1618.0,0.0,82.0,2,1,ARARITAGUABA,1264,RUA,VILA MARIA,2122011,-23.5150055,-46.5821843,EM-3ª série,"254,3",253.4,254.3,507.70000000000005
33,RITA BICUDO PEREIRA PROFA,35000693,362.0,255.0,14.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,536.0,575.0,982.0,129.0,0.0,2,1,PERI RONCHETTI,494,AVENIDA,JARDIM PERI,2633000,-23.4619192,-46.6508911,EM-3ª série,"255,8",263.4,254.9,518.3
34,NARBAL FONTES PROFESSORA,35000711,191.0,180.0,6.0,28.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,247.0,253.0,387.0,113.0,179.0,2,1,AVENIDA CONCEICAO,806,AVENIDA,CARANDIRU,2072000,-23.5004805,-46.6056775,EM-3ª série,"275,1",278.7,275.7,554.4
35,OCTAVIO MENDES DOUTOR,35000723,133.0,240.0,10.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,186.0,212.0,398.0,0.0,252.0,2,1,RUA VOLUNTARIOS DA PATRIA,3422,RUA,SANTANA,2402300,-23.490036,-46.6256296,EM-3ª série,"288,3",277.5,282.0,559.5
36,PAUL HUGON PROF,35000735,303.0,697.0,25.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,716.0,791.0,1028.0,479.0,0.0,2,1,JOSE DE ALMEIDA BOTELHO GENERAL,196,RUA,PARQUE MANDAQUI,2422090,-23.4710657,-46.6355175,EM-3ª série,"278,3",270.3,265.0,535.3
37,MARIA MONTESSORI,35000747,333.0,552.0,18.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,466.0,506.0,972.0,0.0,0.0,2,1,CONCEICAO,2288,AVENIDA,VILA PAIVA,2072002,-23.5003949,-46.5928103,EM-3ª série,"286,9",275.1,274.8,549.9000000000001
38,AFRANIO PEIXOTO,35000760,126.0,437.0,16.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,300.0,313.0,613.0,0.0,1.0,2,1,RUA MARIA CANDIDA,1936,RUA,VILA GUILHERME,2071013,-23.5085852,-46.596843,EM-3ª série,"273,7",266.2,265.8,532.0
39,HEROIS DA FEB,35000796,357.0,631.0,6.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,698.0,644.0,960.0,382.0,27.0,2,1,RUA SOLDADO BENEDITO ELISEU DOS SANTOS,SN,RUA,PARQUE NOVO MUNDO,2177020,-23.5124092,-46.5688134,EM-3ª série,"258,1",249.4,250.0,499.4
40,IMPERATRIZ LEOPOLDINA,35000802,203.0,193.0,24.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,179.0,245.0,424.0,0.0,195.0,2,1,TOGO,571,RUA,JARDIM JAPAO,2124050,-23.5054693,-46.5778447,EM-3ª série,"269,3",261.4,273.8,535.2
41,RAQUEL ASSIS BARREIROS PROFA,35000814,289.0,338.0,8.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,334.0,359.0,693.0,0.0,0.0,2,1,PENHA BRASIL GENERAL,1255,AVENIDA,VILA NOVA CACHOEIRINHA,2673000,-23.4641345,-46.6683506,EM-3ª série,"272,5",267.7,267.6,535.3
42,JOAO VIEIRA DE ALMEIDA,35000838,363.0,505.0,18.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,625.0,566.0,811.0,380.0,2.0,2,1,GUILHERME COTCHING,1272,AVENIDA,VILA MARIA,2113012,-23.5183454,-46.5893575,EM-3ª série,"266,4",256.8,257.1,513.9000000000001
43,JOAQUIM LEME DO PRADO PROFESSOR,35000848,526.0,737.0,27.0,26.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,748.0,660.0,1323.0,85.0,0.0,2,1,AVENIDA IMIRIM,2113,AVENIDA,IMIRIM,2465200,-23.4884378,-46.6525537,EM-3ª série,"271,5",270.9,261.0,531.9
44,CASTRO ALVES,35000875,341.0,334.0,21.0,67.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,328.0,392.0,720.0,0.0,0.0,2,1,FRANCISCO BRUNO,67,RUA,VILA MARIZA MAZZEI,2432070,-23.4854605,-46.6396929,EM-3ª série,272,257.2,261.1,518.3
45,CARLOS DE LAET PROF,35000905,248.0,155.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,206.0,210.0,416.0,0.0,145.0,2,1,ALBERTINA VIEIRA DA SILVA GORDO,147,RUA,VILA AURORA ZONA NORTE,2410000,-23.4771139,-46.6243508,EM-3ª série,"239,5",258.6,263.0,521.6
46,ANTONIO LISBOA PROFESSOR,35000917,228.0,333.0,14.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,316.0,375.0,606.0,85.0,0.0,2,1,RUA PROFESSOR FABIO FANUCCHI,425,RUA,BAIRRO JARDIM SAO PAULO,2045080,-23.4931599,-46.6157282,EM-3ª série,"290,8",277.6,264.9,542.5
47,ANTONIO VIEIRA PADRE,35000929,3.0,717.0,20.0,6.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,427.0,360.0,787.0,0.0,1.0,2,1,AVENIDA CRUZEIRO DO SUL,3301,AVENIDA,CANINDE,2031200,-23.501482,-46.6253123,EM-3ª série,"286,3",285.5,273.1,558.6
48,HOMEM DE MELLO BARAO,35000930,224.0,86.0,9.0,37.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,158.0,157.0,315.0,0.0,78.0,2,1,RUA ALFREDO PUJOL,1555,RUA,SANTANA,2017013,-23.5022718,-46.6404803,EM-3ª série,"285,2",249.2,249.4,498.6
49,BUENOS AIRES,35000942,2.0,410.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,260.0,172.0,432.0,0.0,432.0,2,1,RUA DOUTOR OLAVO EGIDIO,1008,RUA,SANTANA,2037001,-23.5004137,-46.6164853,EM-3ª série,"293,2",279.6,287.8,567.4000000000001
50,GONCALVES DIAS,35000966,131.0,292.0,23.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,221.0,234.0,455.0,0.0,0.0,2,1,NILO LUIS MAZZEI,SN,RUA,VILA ISOLINA MAZZEI,2081070,-23.4925479,-46.601329,EM-3ª série,"266,2",258.5,256.9,515.4
51,CASIMIRO DE ABREU,35000978,261.0,323.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,310.0,291.0,601.0,0.0,321.0,2,1,RUA CORONEL JORDAO,144,RUA,VILA PAIVA,2075030,-23.5075343,-46.6013993,EM-3ª série,"313,4",298.7,306.1,604.8
52,EURICO FIGUEIREDO PROF,35001004,278.0,246.0,16.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,274.0,270.0,544.0,0.0,246.0,2,1,FONSECA FILHO MINISTRO,75,RUA,JACANA,2272030,-23.47009,-46.5868392,EM-3ª série,270,270.1,270.8,540.9000000000001
53,ALBERTO CARDOSO DE MELLO NETO DR,35001016,440.0,1273.0,15.0,8.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,885.0,1066.0,1474.0,477.0,25.0,2,1,VIRGILIA RODRIGUES ALVES DE CARVALHO PINTO PROFESSORA,633,AVENIDA,JARDIM LEONOR MENDES DE BARROS,2346000,-23.46469667,-46.605015,EM-3ª série,"269,4",256.0,256.6,512.6
54,VICTOR DOS SANTOS CUNHA PROF,35001028,315.0,688.0,27.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,546.0,580.0,912.0,214.0,3.0,2,1,JOAO SIMAO DE CASTRO,280,AVENIDA,VILA SABRINA,2141000,-23.4900865,-46.5728916,EM-3ª série,"257,7",255.8,256.0,511.8
55,SEBASTIAO DE SOUZA BUENO PROF,35001036,302.0,181.0,17.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,251.0,239.0,490.0,0.0,174.0,2,1,FRANCISCO DE MEDEIROS JORDAO,579,RUA,VILA MEDEIROS,2214030,-23.4923262,-46.5860147,EM-3ª série,278,277.4,271.1,548.5
56,JOHANN GUTENBERG,35001041,258.0,220.0,15.0,15.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,237.0,258.0,495.0,0.0,218.0,2,1,BUSSE CAPITAO,391,RUA,PARQUE EDU CHAVES,2232050,-23.4737789,-46.562776,EM-3ª série,"251,6",244.8,254.3,499.1
57,PEDRO ALEXANDRINO,35001132,321.0,493.0,20.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,404.0,478.0,882.0,0.0,20.0,2,1,IMBIRAS,49,RUA,VILA NOVA MAZZEI,2316000,-23.4657755,-46.5972659,EM-3ª série,"275,9",265.0,256.6,521.6
58,JULIO PESTANA,35001144,439.0,586.0,14.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,582.0,545.0,753.0,374.0,1.0,2,1,GUAPIRA,2862,AVENIDA,TUCURUVI,2265002,-23.4649144,-46.5831761,EM-3ª série,"244,3",249.8,252.4,502.20000000000005
59,SILVA JARDIM,35001156,510.0,593.0,16.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,914.0,708.0,1159.0,463.0,0.0,2,1,TUCURUVI,724,AVENIDA,TUCURUVI,2304002,-23.4813388,-46.6048259,EM-3ª série,"287,4",278.1,269.2,547.3
60,ALFREDO INACIO TRINDADE,35001168,315.0,749.0,17.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,517.0,607.0,1124.0,0.0,0.0,2,1,JOAO ROSA,86,RUA,VILA NIVI,2255130,-23.4779753,-46.5918435,EM-3ª série,"257,4",258.0,261.2,519.2
61,ALBINO CESAR,35001173,377.0,953.0,23.0,6.0,6.0,1.0,1.0,1.0,1.0,0.0,1.0,728.0,728.0,1113.0,343.0,21.0,2,1,CAJAMAR,5,RUA,VILA MAZZEI,2308090,-23.4774429,-46.6069164,EM-3ª série,"266,4",260.6,260.5,521.1
62,PHILOMENA BAYLAO PROFA,35001193,343.0,300.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,529.0,553.0,1082.0,0.0,0.0,2,1,CORONEL SEZEFREDO FAGUNDES,14666,,NUCLEO DO ENGORDADOR,2368000,-23.417382,-46.5845822,EM-3ª série,"240,8",242.5,249.8,492.3
63,CYRENE DE OLIVEIRA LAET DONA,35001235,223.0,308.0,88888.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,407.0,372.0,432.0,347.0,157.0,2,1,ESTER ELISA,227,RUA,VILA NILO,2278040,-23.4590345,-46.5793447,EM-3ª série,253,251.6,250.8,502.4
64,RUY BARBOSA CONSELHEIRO,35001247,267.0,378.0,8.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,324.0,360.0,684.0,0.0,0.0,2,1,ANTONIO CASTELAR DE FRANCESCHI PROFESSOR,200,RUA,HORTO FLORESTAL,2377080,-23.4571255,-46.6305591,EM-3ª série,"280,5",264.6,258.4,523.0
65,JOAO LIGABUE CONEGO,35001259,245.0,170.0,31.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,195.0,234.0,429.0,0.0,160.0,2,1,GROTA,483,RUA,VILA GUSTAVO,2206010,-23.4817365,-46.5961521,EM-3ª série,"281,2",264.4,259.8,524.2
66,ANGELO BORTOLO,35001272,418.0,174.0,13.0,26.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,276.0,329.0,605.0,0.0,160.0,2,1,ANTONIO GONCALVES SILVA,91,RUA,BORTOLANDIA,2352090,-23.4547587,-46.5980016,EM-3ª série,"262,3",249.8,247.1,496.9
67,AMENAIDE BRAGA DE QUEIROZ PROFA,35001284,300.0,446.0,23.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,405.0,392.0,797.0,0.0,0.0,2,1,BARRA MANSA,480,RUA,JARDIM FRANCA,2337040,-23.4768029,-46.6117573,EM-3ª série,"283,2",273.2,272.3,545.5
68,CARMOSINA MONTEIRO VIANNA PROFA,35001296,423.0,521.0,16.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,495.0,496.0,991.0,0.0,0.0,2,1,ANTONIO PALMIERI,377,RUA,JARDIM BRASIL ZONA NORTE,2210000,-23.485756,-46.5800267,EM-3ª série,"265,1",251.9,249.9,501.8
69,ARNALDO BARRETO,35001302,179.0,205.0,17.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,259.0,208.0,424.0,43.0,9.0,2,1,ANTONIO PESTANA,58,RUA,TREMEMBE,2370020,-23.4615883,-46.6219283,EM-3ª série,"278,8",258.8,270.5,529.3
70,PEDRO DE MORAES VICTOR DR,35001326,385.0,351.0,27.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,504.0,464.0,801.0,167.0,0.0,2,1,BOAVENTURA COLETTI,SN,RUA,VILA FIDALGO,2324100,-23.4438499,-46.5885532,EM-3ª série,"256,6",252.8,249.0,501.8
71,JOSE DO AMARAL MELLO PROF,35001348,446.0,297.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,629.0,611.0,1187.0,53.0,0.0,2,1,ALPHEU LUIZ GASPARINO,84,RUA,VILA NOVA GALVAO,2281110,-23.4517913,-46.5730456,EM-3ª série,"262,3",265.6,254.8,520.4000000000001
72,SAO PAULO,35001363,0.0,243.0,8.0,10.0,176.0,1.0,1.0,1.0,0.0,0.0,0.0,137.0,129.0,266.0,0.0,266.0,2,1,RUA DA FIGUEIRA,500,RUA,BRAS,3003000,-23.5476752,-46.6275197,EM-3ª série,"324,4",306.1,310.1,616.2
73,LOUREIRO JUNIOR PROFESSOR,35001375,29.0,133.0,0.0,20.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,81.0,92.0,173.0,0.0,144.0,2,1,RUA PADRE ADELINO,1330,RUA,QUARTA PARADA,3303000,-23.5439165,-46.5809783,EM-3ª série,"291,6",300.3,294.9,595.2
74,ISAI LEIRNER,35001417,194.0,171.0,17.0,28.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,249.0,204.0,377.0,76.0,178.0,2,1,PLACIDO DE CASTRO,221,RUA,VILA INVERNADA,3349030,-23.5673417,-46.5651789,EM-3ª série,"297,7",300.1,282.6,582.7
75,ANDRE XAVIER GALLICHO PROFESSOR,35001442,184.0,244.0,13.0,28.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,312.0,346.0,658.0,0.0,21.0,2,1,MOOCA,4650,RUA,MOOCA,3165002,-23.5620765,-46.5812977,EM-3ª série,"284,9",274.9,269.5,544.4
76,ANTONIO FIRMINO DE PROENCA PROF,35001454,429.0,413.0,14.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,449.0,467.0,916.0,0.0,0.0,2,1,RUA DA MOOCA,363,RUA,MOOCA,3103000,-23.553576,-46.6212398,EM-3ª série,"291,2",286.7,280.0,566.7
