,NO_ENTIDADE,QT_MAT_BAS_11_14,QT_MAT_BAS_15_17,QT_DESKTOP_ALUNO,QT_COMP_PORTATIL_ALUNO,QT_TABLET_ALUNO,IN_INTERNET_ALUNOS,IN_INTERNET_APRENDIZAGEM,IN_BANDA_LARGA,IN_MATERIAL_PED_MULTIMIDIA,IN_MATERIAL_PED_MUSICAL,IN_MATERIAL_PED_ARTISTICAS,QT_MAT_BAS_FEM,QT_MAT_BAS_MASC,QT_MAT_BAS_D,QT_MAT_BAS_N,QT_MAT_MED_INT,TP_DEPENDENCIA,TP_SITUACAO_FUNCIONAMENTO,DS_ENDERECO,NU_ENDERECO,DS_COMPLEMENTO,NO_BAIRRO,CO_CEP,Latitude,Longitude,COMPS_PER_STUDENT,STUDENTS_11_17
10,FRANCISCO FARIA NETO PROFESSOR,39.0,0.0,1.0,10.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,403.0,442.0,845.0,0.0,0.0,2,1,SILVERIO DE CASTRO SOUSA,102,RUA,JARDIM SYDNEY,2982000,-23.4505517,-46.7159017,0.28205128205128205,39.0
11,JOSE ALTENFELDER SILVA PROFESSOR,37.0,0.0,14.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,360.0,353.0,713.0,0.0,0.0,2,1,CARLOS ALBERTO VANZOLINI,397,RUA,VILA DOS REMEDIOS,5103060,-23.5136305,-46.7518108,0.3783783783783784,37.0
12,MARIANO DE OLIVEIRA PROFESSOR,319.0,999.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,843.0,909.0,1148.0,604.0,0.0,2,1,RUA ALMIRANTE ISAIAS DE NORONHA,13,RUA,VILA PEREIRA BARRETO,2919100,-23.49153,-46.71565,0.011380880121396054,1318.0
13,SILVIO XAVIER ANTUNES PROFESSOR,154.0,221.0,8.0,29.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,204.0,222.0,426.0,0.0,15.0,2,1,JOSE DA SILVA MARTHA,150,RUA,PIQUERI,2913100,-23.5017077,-46.7131588,0.09866666666666667,375.0
14,OCTAVIO MONTEIRO DE CASTRO PROFESSOR,11.0,0.0,13.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,141.0,125.0,266.0,0.0,0.0,2,1,ITAQUIRAI,01,PRACA,VILA MANGALOT,5132110,-23.5045327,-46.7446418,1.3636363636363635,11.0
15,PIO TELLES PEIXOTO PROFESSOR,214.0,301.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,336.0,360.0,519.0,177.0,0.0,2,1,ARTUR ORLANDO,985,RUA,VILA JAGUARA,5118000,-23.511597,-46.7487375,0.019417475728155338,515.0
16,ZENAIDE VILALVA DE ARAUJO PROFESSORA,354.0,353.0,17.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,318.0,433.0,751.0,0.0,373.0,2,1,BELO JARDIM,674,RUA,JARDIM MUTINGA,5159200,-23.5006627,-46.7122546,0.024045261669024046,707.0
17,ANTONIO CANDIDO CORREA GUIMARAES FILHO PROFESSOR,421.0,456.0,17.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,448.0,480.0,723.0,205.0,0.0,2,1,MUTINGA,5071,AVENIDA,JARDIM SANTO ELIAS,5110000,-23.5047429,-46.7581958,0.020524515393386546,877.0
18,AGENOR COUTO DE MAGALHAES DOUTOR,197.0,393.0,15.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,472.0,489.0,557.0,404.0,0.0,2,1,GUILHERME MANKEL,99,AVENIDA,VILA CLARICE,5176000,-23.47151,-46.74658,0.025423728813559324,590.0
19,ALIPIO DE BARROS PROFESSOR,27.0,0.0,17.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,299.0,317.0,616.0,0.0,0.0,2,1,AVENIDA COMENDADOR FEIZ ZARZUR,SN,AVENIDA,JARDIM CIDADE PIRITUBA,2942000,-23.4794897,-46.7187609,0.6296296296296297,27.0
20,ANTONIO FRANCISCO REDONDO PROFESSOR,6.0,746.0,8.0,28.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,469.0,475.0,692.0,252.0,0.0,2,1,EVANDRO DANTON FERREIRA GANDRA,148,RUA,VILA MANGALOT,5131100,-23.4969,-46.7434,0.047872340425531915,752.0
21,CANDIDO GONCALVES GOMIDE PROFESSOR,406.0,835.0,10.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,817.0,804.0,1133.0,488.0,0.0,2,1,AVELINO ZANETTI,50,RUA,JARDIM CIDADE PIRITUBA,2945100,-23.48306172,-46.72585765,0.008058017727639,1241.0
22,CHIQUINHA RODRIGUES,50.0,0.0,15.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,461.0,485.0,946.0,0.0,0.0,2,1,CAIAPE,SN,RUA,VILA PENTEADO,2867000,-23.4720078,-46.6835924,0.3,50.0
23,ISABEL VIEIRA DE SERPA E PAIVA PROFESSORA,15.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,233.0,223.0,456.0,0.0,0.0,2,1,JERIMANDUBA,561,AVENIDA,JARAGUA,5181000,-23.4553103,-46.7461995,0.2,15.0
24,CLODOMIRO CARNEIRO,197.0,179.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,186.0,201.0,387.0,0.0,170.0,2,1,MANOEL DE SOUZA AZEVEDO,364,RUA,SITIO MORRO GRANDE,2809040,-23.4713437,-46.7031927,0.0,376.0
25,ERMANO MARCHETTI,355.0,811.0,14.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,658.0,635.0,1047.0,246.0,0.0,2,1,PEDRO MARIGLIANI,192,RUA,CHACARA INGLESA,5141010,-23.4933081,-46.7298324,0.012006861063464836,1166.0
26,DALILA DE ANDRADE COSTA PROFESSORA,26.0,0.0,18.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,233.0,277.0,510.0,0.0,0.0,2,1,ARROIO DO MEIO,SN,RUA,JARDIM VISTA ALEGRE,2878120,-23.4537193,-46.6862732,0.6923076923076923,26.0
27,BENEDITO TOLOSA PROFESSOR,176.0,203.0,13.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,212.0,222.0,434.0,0.0,0.0,2,1,PRACA DIRCEU DE LIMA,617,PRACA,CASA VERDE,2515050,-23.5104708,-46.6577907,0.03430079155672823,379.0
28,ARY BARROSO,26.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,238.0,237.0,475.0,0.0,0.0,2,1,RUA SANTA EUDOXIA,630,RUA,PARQUE PERUCHE,2533010,-23.4976579,-46.6551012,0.15384615384615385,26.0
29,PEDRO MONTEIRO DO AMARAL CAPITAO,280.0,353.0,16.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,340.0,334.0,674.0,0.0,41.0,2,1,RUA NURSIA,412,RUA,JARDIM SAO BENTO,2524020,-23.5026864,-46.6506415,0.02527646129541864,633.0
30,MANUEL DA NOBREGA PADRE,437.0,534.0,16.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,510.0,524.0,1034.0,0.0,0.0,2,1,RUA SANTA PRISCA,122,RUA,JARDIM LARANJEIRAS,2518010,-23.5089549,-46.6630694,0.016477857878475798,971.0
31,MANOEL DA NOBREGA PADRE,30.0,0.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,331.0,326.0,657.0,0.0,0.0,2,1,ITABERABA,145,AVENIDA,NOSSA SENHORA DO O,2734000,-23.4998988,-46.6979147,0.4,30.0
32,MATILDE MACEDO SOARES,270.0,30.0,10.0,10.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,278.0,301.0,579.0,0.0,0.0,2,1,JOSE SORIANO DE SOUSA,30,,CASA VERDE ALTA,2555050,-23.4951189,-46.6673965,0.06666666666666667,300.0
33,PASQUALE PECCICACCO,36.0,0.0,18.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,299.0,315.0,614.0,0.0,0.0,2,1,NAZARIO PAGANO,225,RUA,JARDIM MONJOLO,2961030,-23.4922064,-46.6975101,0.5277777777777778,36.0
34,ANTONIO JOSE LEITE PROF,311.0,1098.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,760.0,851.0,1361.0,250.0,0.0,2,1,DEZ DE MAIO,271,RUA,VILA AMELIA,2615100,-23.4703506,-46.655166,0.007097232079488999,1409.0
35,ANTOINE DE SAINT EXUPERY,524.0,577.0,25.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,578.0,580.0,1158.0,0.0,29.0,2,1,RUA ANTONIO RIBEIRO DE MORAIS,184,RUA,VILA CARBONE,2751000,-23.4909827,-46.6810889,0.022706630336058128,1101.0
36,JOAQUIM LUIZ DE BRITO PROFESSOR,244.0,407.0,8.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,513.0,477.0,660.0,330.0,0.0,2,1,RUA SANTA LUCIA FILIPPINI,65,RUA,ITABERABA,2737100,-23.48751,-46.69238,0.01228878648233487,651.0
37,MARQUES DE TAMANDARE ALMIRANTE,419.0,686.0,16.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,593.0,625.0,914.0,304.0,0.0,2,1,JACARECOPAIBA,33,RUA,VILA MARINA,2965170,-23.484261,-46.7029114,0.014479638009049774,1105.0
38,JOAQUIM SILVADO DOUTOR,267.0,194.0,16.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,219.0,258.0,477.0,0.0,184.0,2,1,RUA MONSENHOR MANOEL GOMES,306,RUA,VILA ZAT,2975120,-23.47972316,-46.70964749,0.03470715835140998,461.0
39,REPUBLICA DO CHILE,32.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,375.0,397.0,772.0,0.0,0.0,2,1,MARACAIA,204,RUA,VILA NOVA CACHOEIRINHA,2612020,-23.4698052,-46.6636757,0.3125,32.0
40,ANGELINA MADUREIRA PROFESSORA,28.0,0.0,11.0,9.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,321.0,315.0,636.0,0.0,0.0,2,1,RUA VICENTE FERREIRA LEITE,489,RUA,VILA SIQUEIRA,2723000,-23.498339,-46.680686,0.7142857142857143,28.0
41,TAUNAY VISCONDE DE,16.0,0.0,10.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,226.0,222.0,448.0,0.0,0.0,2,1,AVENIDA CELESTINO BOURROUL,304,AVENIDA,LIMAO,2710000,-23.5107289,-46.6721424,0.625,16.0
42,AUGUSTO RIBEIRO DE CARVALHO PROFESSOR,447.0,672.0,26.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,677.0,738.0,1091.0,324.0,0.0,2,1,RUA PROFESSOR JOAO MACHADO,511,RUA,NOSSA SENHORA DO O,2927000,-23.4979561,-46.7037694,0.02323503127792672,1119.0
43,AUGUSTO MEIRELLES REIS FILHO PROFESSOR,245.0,217.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,252.0,284.0,420.0,116.0,147.0,2,1,RUA PADRE JOAO GUALBERTO,311,RUA,IMIRIM,2537000,-23.4916621,-46.6513643,0.04329004329004329,462.0
44,MATHIAS AIRES,14.0,0.0,7.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,210.0,215.0,425.0,0.0,0.0,2,1,MOINHO VELHO,355,RUA,MOINHO VELHO,2929000,-23.4942673,-46.7078499,0.6428571428571429,14.0
45,ALBERT EINSTEIN ETEC,17.0,1172.0,265.0,15.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,918.0,747.0,1145.0,520.0,34.0,2,1,NOVA GRANADA,35,RUA,VILA BARUEL,2522050,-23.504988,-46.6594088,0.23549201009251472,1189.0
46,LUIZ GONZAGA RIGHINI PROFESSOR,227.0,414.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,365.0,356.0,721.0,0.0,0.0,2,1,AVENIDA DEPUTADO EMILIO CARLOS,900,AVENIDA,LIMAO,2720100,-23.4978036,-46.6758798,0.0,641.0
47,MARIO TEIXEIRA MARIANO PROFESSOR,32.0,0.0,11.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,438.0,400.0,838.0,0.0,0.0,2,1,RUA DOM ANTONIO DE ALMEIDA LUSTOSA,94,RUA,JARDIM PRIMAVERA ZONA NORTE,2756030,-23.4845652,-46.6774824,0.34375,32.0
48,JOSE CARLOS DIAS PROFESSOR,13.0,0.0,19.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,238.0,271.0,509.0,0.0,0.0,2,1,RUA VICHY,488,RUA,VILA BARUEL,2522100,-23.5040447,-46.6598573,1.4615384615384615,13.0
49,COLOMBO DE ALMEIDA PROFESSOR,282.0,537.0,13.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,432.0,454.0,886.0,0.0,0.0,2,1,RUA GRACIANO ALTIERI,114,RUA,CASA VERDE ALTA,2545060,-23.4939161,-46.6605849,0.015873015873015872,819.0
50,TARCISIO ALVARES LOBO,352.0,561.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,592.0,640.0,897.0,335.0,36.0,2,1,RUA ESTELA BORGES MORATO,500,RUA,VILA SIQUEIRA,2722000,-23.5026119,-46.6808481,0.001095290251916758,913.0
51,JOAQUIM NABUCO,42.0,1.0,10.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,352.0,400.0,752.0,0.0,0.0,2,1,RUA JOAQUIM AFONSO DE SOUZA,355,RUA,VILA CELESTE,2543000,-23.488654,-46.6659079,0.23255813953488372,43.0
52,JACOMO STAVALE PROFESSOR,631.0,593.0,20.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,613.0,660.0,1273.0,0.0,568.0,2,1,MANUEL MADRUGA,205,RUA,MOINHO VELHO,2960020,-23.4960487,-46.6996174,0.016339869281045753,1224.0
53,NOSSA SENHORA DO RETIRO,31.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,296.0,255.0,551.0,0.0,0.0,2,1,RUA  DOUTOR  PEDRO MUSTRE PORTUGAL,265,RUA,VILA RENATO ZONA NORTE,2952080,-23.4726563,-46.7198185,0.3225806451612903,31.0
54,DULCE FERREIRA BOARIN PROFESSORA,293.0,12.0,16.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,163.0,142.0,305.0,0.0,0.0,2,1,RUA DOUTOR FLEURY SILVEIRA,295,RUA,VILA SANTA MARIA,2563010,-23.4898368,-46.6703778,0.05245901639344262,305.0
55,PLINIO DAMASCO PENNA PROFESSOR,245.0,95.0,7.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,194.0,155.0,349.0,0.0,59.0,2,1,RUA GENERAL ULHOA CINTRA,37,RUA,VILA BANCARIA MUNHOZ,2759030,-23.483116,-46.6837951,0.020588235294117647,340.0
56,PAULO SETUBAL,27.0,0.0,11.0,10.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,277.0,317.0,594.0,0.0,0.0,2,1,AVENIDA DEPUTADO EMILIO CARLOS,1980,AVENIDA,LIMAO,2720200,-23.4895646,-46.6754389,0.7777777777777778,27.0
57,TITO PRATES DA FONSECA,542.0,854.0,11.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,908.0,934.0,1318.0,524.0,0.0,2,1,MENDONCA JUNIOR,611,RUA,VILA DOS ANDRADES,2610010,-23.4770123,-46.6642008,0.007879656160458453,1396.0
58,REGENTE FEIJO,27.0,0.0,9.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,251.0,249.0,500.0,0.0,0.0,2,1,ANTONIO DE COUROS,SN,RUA,VILA PALMEIRAS,2726000,-23.4969446,-46.689931,0.3333333333333333,27.0
59,ANTONIO EMILIO SOUZA PENNA PROFESSOR,378.0,530.0,25.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,487.0,567.0,761.0,293.0,0.0,2,1,CAROLINA MARIA DO CARMO,30,RUA,VILA ALBERTINA,2729080,-23.5035181,-46.6929174,0.02753303964757709,908.0
60,AUGUSTO DE MACEDO COSTA DOUTOR,13.0,0.0,15.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,180.0,205.0,385.0,0.0,0.0,2,1,CONCEICAO DE JACAREI,8,RUA,VILA CRUZ DAS ALMAS,2805140,-23.4804013,-46.6989,1.1538461538461537,13.0
61,PIO XII,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,152.0,163.0,315.0,0.0,0.0,2,1,OTAVIO DOMINGUITO,50,RUA,PIQUERI,2912040,-23.5061997,-46.7094385,0.2,5.0
62,FRONTINO GUIMARAES,255.0,14.0,13.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,137.0,132.0,269.0,0.0,0.0,2,1,RUA PAULO GONCALVES,55,RUA,SANTANA,2403020,-23.4962835,-46.627988,0.048327137546468404,269.0
63,ROMULO PERO PROFESSOR,305.0,232.0,17.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,284.0,265.0,549.0,0.0,231.0,2,1,RUA COPACABANA,243,RUA,SANTA TERESINHA,2461000,-23.4941932,-46.6384274,0.03165735567970205,537.0
64,PAULO EGYDIO DE OLIVEIRA CARVALHO SENADOR,654.0,854.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,831.0,787.0,1618.0,0.0,82.0,2,1,ARARITAGUABA,1264,RUA,VILA MARIA,2122011,-23.5150055,-46.5821843,0.0,1508.0
65,TOLEDO BARBOSA,270.0,30.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,322.0,357.0,679.0,0.0,0.0,2,1,RUA MARIA CANDIDA,293,RUA,VILA GUILHERME,2071010,-23.5018019,-46.6118308,0.03333333333333333,300.0
66,RITA BICUDO PEREIRA PROFA,362.0,255.0,14.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,536.0,575.0,982.0,129.0,0.0,2,1,PERI RONCHETTI,494,AVENIDA,JARDIM PERI,2633000,-23.4619192,-46.6508911,0.02593192868719611,617.0
67,HORACIO LAFER MINISTRO,33.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,434.0,460.0,894.0,0.0,0.0,2,1,DIAS DA SILVA,1464,,VILA MARIA,2114002,-23.5142397,-46.5843283,0.30303030303030304,33.0
68,NARBAL FONTES PROFESSORA,191.0,180.0,6.0,28.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,247.0,253.0,387.0,113.0,179.0,2,1,AVENIDA CONCEICAO,806,AVENIDA,CARANDIRU,2072000,-23.5004805,-46.6056775,0.09164420485175202,371.0
69,OCTAVIO MENDES DOUTOR,133.0,240.0,10.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,186.0,212.0,398.0,0.0,252.0,2,1,RUA VOLUNTARIOS DA PATRIA,3422,RUA,SANTANA,2402300,-23.490036,-46.6256296,0.02680965147453083,373.0
70,PAUL HUGON PROF,303.0,697.0,25.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,716.0,791.0,1028.0,479.0,0.0,2,1,JOSE DE ALMEIDA BOTELHO GENERAL,196,RUA,PARQUE MANDAQUI,2422090,-23.4710657,-46.6355175,0.025,1000.0
71,MARIA MONTESSORI,333.0,552.0,18.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,466.0,506.0,972.0,0.0,0.0,2,1,CONCEICAO,2288,AVENIDA,VILA PAIVA,2072002,-23.5003949,-46.5928103,0.020338983050847456,885.0
72,FLORINDA CARDOSO PROFESSORA,26.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,341.0,383.0,724.0,0.0,0.0,2,1,ITAUNA,748,RUA,VILA MARIA,2111031,-23.5159213,-46.5905765,0.038461538461538464,26.0
73,AFRANIO PEIXOTO,126.0,437.0,16.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,300.0,313.0,613.0,0.0,1.0,2,1,RUA MARIA CANDIDA,1936,RUA,VILA GUILHERME,2071013,-23.5085852,-46.596843,0.028419182948490232,563.0
74,VISCONDE DE INHAUMA ALMIRANTE,18.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,298.0,342.0,640.0,0.0,0.0,2,1,GUACA,1382,AVENIDA,LAUZANE PAULISTA,2435001,-23.4765689,-46.6333889,0.0,18.0
75,ANESIA SINCORA PROFESSORA,187.0,25.0,12.0,10.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,207.0,216.0,423.0,0.0,0.0,2,1,RUA JOSE BERNARDO PINTO,758,RUA,VILA GUILHERME,2055001,-23.515894,-46.6047045,0.10377358490566038,212.0
76,HEROIS DA FEB,357.0,631.0,6.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,698.0,644.0,960.0,382.0,27.0,2,1,RUA SOLDADO BENEDITO ELISEU DOS SANTOS,SN,RUA,PARQUE NOVO MUNDO,2177020,-23.5124092,-46.5688134,0.009109311740890687,988.0
77,IMPERATRIZ LEOPOLDINA,203.0,193.0,24.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,179.0,245.0,424.0,0.0,195.0,2,1,TOGO,571,RUA,JARDIM JAPAO,2124050,-23.5054693,-46.5778447,0.06060606060606061,396.0
78,RAQUEL ASSIS BARREIROS PROFA,289.0,338.0,8.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,334.0,359.0,693.0,0.0,0.0,2,1,PENHA BRASIL GENERAL,1255,AVENIDA,VILA NOVA CACHOEIRINHA,2673000,-23.4641345,-46.6683506,0.012759170653907496,627.0
79,JOAO VIEIRA DE ALMEIDA,363.0,505.0,18.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,625.0,566.0,811.0,380.0,2.0,2,1,GUILHERME COTCHING,1272,AVENIDA,VILA MARIA,2113012,-23.5183454,-46.5893575,0.020737327188940093,868.0
80,JOAQUIM LEME DO PRADO PROFESSOR,526.0,737.0,27.0,26.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,748.0,660.0,1323.0,85.0,0.0,2,1,AVENIDA IMIRIM,2113,AVENIDA,IMIRIM,2465200,-23.4884378,-46.6525537,0.04196357878068092,1263.0
81,JULIO MAIA,26.0,0.0,15.0,28.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,279.0,280.0,559.0,0.0,0.0,2,1,SOBRAL JUNIOR,234,RUA,VILA MARIA ALTA,2130020,-23.5065345,-46.586305,1.6538461538461537,26.0
82,JOSE MARCELINO DA FONSECA MAJOR,8.0,0.0,17.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,258.0,276.0,534.0,0.0,0.0,2,1,RUA SOLDADO BENTINHO,87,RUA,PARQUE MANDAQUI,2418090,-23.4706249,-46.6288678,2.25,8.0
83,CASTRO ALVES,341.0,334.0,21.0,67.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,328.0,392.0,720.0,0.0,0.0,2,1,FRANCISCO BRUNO,67,RUA,VILA MARIZA MAZZEI,2432070,-23.4854605,-46.6396929,0.13037037037037036,675.0
84,PEDRO COSTA DEPUTADO,17.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,161.0,161.0,322.0,0.0,0.0,2,1,NILO LUIS MAZZEI,378,RUA,VILA ISOLINA MAZZEI,2081070,-23.4937002,-46.6027501,0.0,17.0
85,CARLOS DE LAET PROF,248.0,155.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,206.0,210.0,416.0,0.0,145.0,2,1,ALBERTINA VIEIRA DA SILVA GORDO,147,RUA,VILA AURORA ZONA NORTE,2410000,-23.4771139,-46.6243508,0.0,403.0
